Brand,Year,Configuration,Strings,Made in,Type,Body Shape,Body Material,Neck Joint,Neck Material,Neck Profile,Scale Size,Frets,Fretboard Material,Number of Frets,Fretboard Radius,Stainless Steel Frets,Nut,Nut Width,Switch,Knobs,Volume Controls,Tone Controls,Top Pickup Brand,Pickups Power,Locking Tuners,Bridge Type,Tremolo,Price
18,14,1,1,2,2,14,6,2,8,1,6,7,1,3,5,1,0,3,1,1,1,1,1,6,1,5,0,942.0
12,9,8,1,3,2,14,6,0,2,7,6,0,1,3,13,0,11,13,3,1,1,1,1,8,0,2,1,1349.0
12,14,8,1,2,2,14,3,1,2,11,6,0,1,3,10,1,11,13,3,1,1,1,1,8,0,1,1,1342.224
20,12,1,1,2,2,14,6,1,2,1,6,7,1,3,7,1,7,13,3,1,1,1,1,6,1,4,0,841.5
20,11,1,1,2,2,14,6,1,2,1,6,7,1,3,7,1,7,13,3,1,1,1,1,6,1,4,0,1120.98
20,11,1,1,2,2,14,6,1,2,1,6,7,1,3,7,1,7,13,3,1,1,1,1,6,1,4,0,1055.19
5,12,9,1,2,2,14,2,0,2,8,6,7,6,3,7,1,11,12,3,0,1,1,1,8,0,6,1,1036.984
18,11,1,1,5,2,7,2,2,2,1,4,7,1,2,5,1,11,2,1,1,2,1,1,6,0,6,1,1267.404
18,13,1,1,5,2,14,5,0,8,1,6,7,1,3,5,1,11,2,3,0,1,1,1,6,0,6,1,1150.514
18,13,1,1,5,2,9,6,2,1,1,6,7,1,3,5,1,0,12,1,1,2,1,1,6,1,5,0,1230.9625
18,11,1,1,5,2,16,2,2,2,1,6,7,1,3,5,1,0,12,1,1,2,1,1,6,1,5,0,1176.28
20,11,1,1,2,2,16,6,2,2,1,6,7,1,3,7,1,11,13,1,1,1,1,1,6,1,6,1,985.32
4,6,1,1,3,2,11,6,2,1,8,4,7,1,3,4,0,1,12,1,1,1,1,1,1,1,5,0,1914.006
4,6,1,1,3,2,11,6,1,2,8,11,7,1,3,4,0,1,12,1,1,1,1,1,1,1,5,0,1992.01
20,12,1,1,2,2,14,1,2,2,1,6,7,1,3,7,1,7,13,1,1,1,0,1,1,1,4,0,1359.66
20,11,1,1,2,2,14,1,2,2,1,6,7,1,3,7,1,11,13,3,1,1,1,1,6,1,6,1,967.0033333333334
20,12,1,1,2,2,14,1,2,2,1,6,7,1,3,7,1,7,13,1,1,1,1,1,1,1,4,0,1370.5833333333333
20,12,1,1,2,2,14,1,0,2,1,6,7,6,3,7,1,7,13,1,1,1,1,1,6,1,4,0,1038.785
20,12,1,1,2,2,14,2,0,2,1,6,7,6,3,7,1,7,13,1,1,1,0,1,6,1,4,0,1188.66
11,12,1,2,2,2,14,6,1,1,1,6,0,1,3,8,1,9,18,1,1,1,1,1,1,1,5,0,519.1800000000001
7,13,15,1,6,2,15,2,0,2,2,6,3,11,2,1,1,9,10,1,1,1,1,1,6,1,5,0,2039.232
5,13,0,1,2,2,16,6,1,2,8,6,7,1,3,7,1,14,12,0,1,1,0,1,0,1,5,0,932.39
5,6,1,1,2,1,12,6,1,2,8,6,7,1,3,7,0,14,13,1,2,1,1,1,1,1,4,0,1743.445
18,12,1,1,5,2,14,6,2,1,1,6,7,1,3,8,1,0,12,1,1,2,1,1,6,1,5,0,1096.3200000000002
18,9,1,2,5,2,14,2,2,2,1,8,7,1,3,5,1,0,18,1,1,2,1,1,6,1,5,0,1295.36
18,13,1,2,5,2,14,6,2,1,1,8,7,1,3,5,1,0,18,1,1,2,1,1,6,1,5,0,916.3266666666664
13,14,1,2,5,2,16,1,1,2,2,8,0,1,3,5,0,11,16,1,1,1,1,1,6,0,6,1,1968.575
18,13,1,2,5,2,2,2,2,2,1,8,7,1,3,5,1,0,18,1,1,1,1,1,6,1,5,0,1349.0
20,12,1,1,2,2,2,6,2,2,1,4,7,1,2,7,1,11,13,1,1,1,1,1,6,1,6,1,985.32
5,13,0,1,2,2,7,6,2,1,8,4,7,1,3,7,1,11,12,0,1,1,0,1,4,0,6,1,900.6600000000001
4,13,1,1,3,2,7,6,2,1,8,4,7,1,2,4,0,1,12,1,1,2,1,1,1,1,5,0,1931.174
4,13,1,1,3,2,7,6,2,1,8,4,7,1,2,4,0,1,12,1,1,2,1,1,1,1,5,0,2076.3120000000004
4,6,1,2,3,2,7,6,2,1,8,6,7,1,3,4,0,1,18,1,1,2,1,1,6,1,4,0,2544.2875
2,13,1,1,5,2,14,1,0,2,2,12,0,1,3,12,0,11,13,1,1,1,1,1,6,0,7,1,1919.66
5,14,0,1,2,2,14,6,2,2,8,6,7,1,3,5,1,11,12,0,1,1,0,1,0,0,6,1,1065.6666666666667
20,12,1,1,2,2,12,6,2,1,1,4,7,1,3,7,1,7,13,1,1,2,1,1,6,1,4,0,963.9
20,12,1,1,2,2,12,6,2,1,1,4,7,1,3,7,1,7,13,1,1,2,1,1,6,1,4,0,963.9
5,14,1,1,2,2,14,6,2,2,8,6,7,1,3,7,1,14,12,1,1,1,1,1,1,0,4,0,1442.3266666666666
18,1,1,1,5,2,14,6,2,1,1,6,7,11,3,8,0,11,2,1,1,1,1,1,3,0,6,1,1074.2425
4,6,1,2,3,2,14,1,1,2,8,6,7,1,3,4,0,7,18,1,1,1,1,1,1,1,4,0,2609.266666666667
4,6,1,3,3,2,14,1,1,2,8,11,7,1,3,10,0,1,23,1,1,1,1,1,1,1,5,0,2047.075
18,9,1,1,5,2,2,6,2,1,1,6,7,1,3,8,0,11,2,1,1,1,1,1,3,0,6,1,1458.9
5,12,1,3,2,2,14,2,1,2,8,11,7,1,3,7,0,0,22,3,0,1,1,1,1,1,5,0,1906.7725
5,12,1,1,2,2,14,1,1,2,8,6,7,1,3,7,1,11,13,1,1,1,1,1,1,0,6,1,1146.5925
4,6,1,1,3,2,14,6,2,2,8,6,7,1,3,4,0,1,12,1,1,1,1,1,6,1,5,0,1977.33
13,13,9,1,3,2,13,3,0,2,2,6,0,6,2,14,0,0,11,3,0,1,1,1,8,1,9,1,2060.583333333333
5,8,1,1,2,2,16,6,1,2,8,4,7,7,3,7,0,11,12,1,1,1,0,1,1,0,6,1,2404.21
2,13,1,1,5,2,9,6,0,2,2,12,0,1,3,12,0,11,13,1,2,1,1,1,6,0,7,1,1919.66
17,13,17,1,5,2,15,5,0,2,1,16,0,6,3,1,0,2,13,3,1,1,1,1,8,1,9,1,1299.0
5,14,1,1,2,2,3,6,1,1,8,6,7,1,2,7,1,14,12,1,1,1,1,1,1,0,4,0,1416.25
13,12,1,1,2,2,14,2,0,2,2,6,0,1,3,5,0,11,11,3,1,1,1,1,1,0,6,1,1085.655
13,12,1,2,2,2,14,2,0,2,2,8,0,1,3,5,0,0,14,3,1,1,1,1,1,1,5,0,1212.042
13,14,1,2,5,2,14,3,1,2,2,8,0,1,3,5,0,11,16,1,1,1,0,1,1,1,6,1,1606.7375000000002
13,12,9,1,2,2,14,6,1,2,2,6,0,1,3,5,0,11,11,3,1,1,1,1,8,0,6,1,1199.7425
0,14,1,1,4,2,14,1,0,2,1,6,0,6,3,5,0,9,11,3,0,1,1,1,6,1,9,1,1046.786
